Codigo,Localidad,Uso,NumeroPredios,AreaConstruida,ValorAvaluoCatastral
7,BOSA,"UNIVERSIDADES Y COLEGIOS",256,435266.39,829.518465
7,BOSA,RESIDENCIAL,146007,14977650.43,14015.28919
7,BOSA,OTROS,7199,323913.44,2393.091484
8,KENNEDY,BODEGAS,2387,1528751.8,4359.106338
8,KENNEDY,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",39,85966.04,276.662715
8,KENNEDY,COMERCIO,4645,743880.9,1896.909195
8,KENNEDY,HOTELES,8,6320.44,12.886659
8,KENNEDY,INDUSTRIA,239,412762.15,833.658933
8,KENNEDY,OFICINAS,1393,493532.52,1117.777442
8,KENNEDY,"UNIVERSIDADES Y COLEGIOS",422,508185.98,1055.674793
8,KENNEDY,RESIDENCIAL,259379,25528709.44,31897.13192
8,KENNEDY,OTROS,12868,1220255.05,7605.775209
9,FONTIBÓN,BODEGAS,2419,2495801.51,6670.545934
9,FONTIBÓN,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",1,4447.25,8.414127
9,FONTIBÓN,COMERCIO,3749,441029.23,1822.805238
9,FONTIBÓN,HOTELES,272,151459.03,787.730904
9,FONTIBÓN,INDUSTRIA,329,993981.89,2191.367671
9,FONTIBÓN,OFICINAS,2552,846251.69,3355.561469
9,FONTIBÓN,"UNIVERSIDADES Y COLEGIOS",155,181962.88,326.289278
9,FONTIBÓN,RESIDENCIAL,137889,10035593.75,19580.95318
9,FONTIBÓN,OTROS,3713,5091243.77,13204.77254
10,ENGATIVA,BODEGAS,2478,1403691.89,4863.461111
10,ENGATIVA,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",21,34179.26,60.499327
10,ENGATIVA,COMERCIO,4777,637092.73,1600.193968
10,ENGATIVA,HOTELES,22,35440.16,261.716192
10,ENGATIVA,INDUSTRIA,156,251997.6,625.362244
10,ENGATIVA,OFICINAS,2159,889380.38,2392.582459
10,ENGATIVA,"UNIVERSIDADES Y COLEGIOS",381,487473.36,1443.811357
10,ENGATIVA,RESIDENCIAL,198590,21701238.87,30632.36942
10,ENGATIVA,OTROS,8113,814134.39,7973.823486
11,SUBA,BODEGAS,1842,1024566.35,3525.232746
11,SUBA,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",20,92695.56,173.15665
11,SUBA,COMERCIO,9265,1162436.17,5441.303763
11,SUBA,HOTELES,3,3101.49,7.130151
11,SUBA,INDUSTRIA,35,64282.77,175.883029
11,SUBA,OFICINAS,4399,1208588.94,3529.0667
11,SUBA,"UNIVERSIDADES Y COLEGIOS",638,1224607.66,2986.958941
11,SUBA,RESIDENCIAL,441641,33126762.41,65609.45204
11,SUBA,OTROS,15159,1226270.02,12881.94008
12,BARRIOS UNIDOS,BODEGAS,2272,773052.19,2039.39283
12,BARRIOS UNIDOS,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",15,65518.86,148.352313
12,BARRIOS UNIDOS,COMERCIO,3321,736776.58,1842.455477
12,BARRIOS UNIDOS,HOTELES,26,30073.84,72.000797
12,BARRIOS UNIDOS,INDUSTRIA,72,38245.58,78.7176
12,BARRIOS UNIDOS,OFICINAS,3329,1142741.91,2471.59069
12,BARRIOS UNIDOS,"UNIVERSIDADES Y COLEGIOS",159,219139.87,449.674459
12,BARRIOS UNIDOS,RESIDENCIAL,42937,5306881.06,9811.333915
12,BARRIOS UNIDOS,OTROS,4297,886536.72,2899.758155
13,TEUSAQUILLO,BODEGAS,269,229296.52,633.107211
13,TEUSAQUILLO,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",24,105531.9,240.190663
13,TEUSAQUILLO,COMERCIO,3624,463939.72,2242.104599
13,TEUSAQUILLO,HOTELES,811,188874.23,725.153132
13,TEUSAQUILLO,INDUSTRIA,4,37420.8,303.817029
13,TEUSAQUILLO,OFICINAS,4205,1991505.37,6048.088968
13,TEUSAQUILLO,"UNIVERSIDADES Y COLEGIOS",208,636469,2064.298339
13,TEUSAQUILLO,RESIDENCIAL,73848,5994231.87,16039.45845
13,TEUSAQUILLO,OTROS,1483,252417.99,2749.926354
14,LOS MÁRTIRES,BODEGAS,2084,917464.72,2379.176642
14,LOS MÁRTIRES,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",13,116900.76,245.292212
14,LOS MÁRTIRES,COMERCIO,9455,650809.67,2032.795782
14,LOS MÁRTIRES,HOTELES,5,4189.19,5.092996
14,LOS MÁRTIRES,INDUSTRIA,62,70494.29,122.716812
14,LOS MÁRTIRES,OFICINAS,2240,479116.7,801.04379
14,LOS MÁRTIRES,"UNIVERSIDADES Y COLEGIOS",50,132232.47,228.682437
14,LOS MÁRTIRES,RESIDENCIAL,18121,2935842.26,3604.941376
14,LOS MÁRTIRES,OTROS,2816,990564.25,1924.692629
15,ANTONIO NARIÑO,BODEGAS,592,279694.69,684.438565
15,ANTONIO NARIÑO,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",15,93687.12,204.840211
15,ANTONIO NARIÑO,COMERCIO,2174,385891.17,1319.050125
15,ANTONIO NARIÑO,HOTELES,0,0,0
15,ANTONIO NARIÑO,INDUSTRIA,57,47596.48,93.800035
15,ANTONIO NARIÑO,OFICINAS,432,195858.5,315.690736
15,ANTONIO NARIÑO,"UNIVERSIDADES Y COLEGIOS",83,155413.08,230.029119
15,ANTONIO NARIÑO,RESIDENCIAL,17765,3062122.78,3786.260351
15,ANTONIO NARIÑO,OTROS,1462,406827.35,1111.737812
16,PUENTE ARANDA,BODEGAS," 2,598 ",2004798.66,5220.443963
16,PUENTE ARANDA,"CLINICAS, HOSPITALES, CENTROS MÉDICOS", 4 ,12173.56,21.44614
16,PUENTE ARANDA,COMERCIO," 5,785 ",700154.31,1837.512051
16,PUENTE ARANDA,HOTELES, 54 ,30660.58,72.091536
16,PUENTE ARANDA,INDUSTRIA, 875 ,1228936.48,2580.895817
16,PUENTE ARANDA,OFICINAS," 1,955 ",801696.12,1514.98756
16,PUENTE ARANDA,"UNIVERSIDADES Y COLEGIOS", 129 ,202129.55,381.655209
16,PUENTE ARANDA,RESIDENCIAL," 54,888 ",8838750.87,11274.35151
16,PUENTE ARANDA,OTROS," 3,167 ",1271379.63,3702.335894
17,LA CANDELARIA,BODEGAS,68,61754.92,134.798882
17,LA CANDELARIA,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",0,0,0
17,LA CANDELARIA,COMERCIO,1991,206922.59,499.726302
17,LA CANDELARIA,HOTELES,39,28382.52,46.748982
17,LA CANDELARIA,INDUSTRIA,0,0,0
17,LA CANDELARIA,OFICINAS,3843,808119.39,1368.685794
17,LA CANDELARIA,"UNIVERSIDADES Y COLEGIOS",120,464643.65,719.672267
17,LA CANDELARIA,RESIDENCIAL,7338,745134.47,1160.346494
17,LA CANDELARIA,OTROS,924,211755.43,482.515117
18,RAFAEL URIBE URIBE,BODEGAS,672,258521.9,482.482926
18,RAFAEL URIBE URIBE,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",8,52175.48,170.376855
18,RAFAEL URIBE URIBE,COMERCIO,1146,204503.61,261.13285
18,RAFAEL URIBE URIBE,HOTELES,0,0,0
18,RAFAEL URIBE URIBE,INDUSTRIA,7,5147.66,8.188722
18,RAFAEL URIBE URIBE,OFICINAS,440,318182.89,506.14819
18,RAFAEL URIBE URIBE,"UNIVERSIDADES Y COLEGIOS",228,352895.77,575.277306
18,RAFAEL URIBE URIBE,RESIDENCIAL,70153,9976238,7816.264665
18,RAFAEL URIBE URIBE,OTROS,4418,335998.57,1409.930078
19,CIUDAD BOLÍVAR,BODEGAS,430,271326.3,648.187145
19,CIUDAD BOLÍVAR,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",30,31107.36,44.687249
19,CIUDAD BOLÍVAR,COMERCIO,1618,237979.68,289.111805
19,CIUDAD BOLÍVAR,HOTELES,2,590.57,0.761398
19,CIUDAD BOLÍVAR,INDUSTRIA,55,287793.29,512.000792
19,CIUDAD BOLÍVAR,OFICINAS,665,212496.96,293.489134
19,CIUDAD BOLÍVAR,"UNIVERSIDADES Y COLEGIOS",363,372330.38,550.305912
19,CIUDAD BOLÍVAR,RESIDENCIAL,122103,13465274.14,9672.155659
19,CIUDAD BOLÍVAR,OTROS,21204,316029.85,2688.559954
20,SUMAPAZ,BODEGAS,2,329.2,0.138795
20,SUMAPAZ,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",0,0,0
20,SUMAPAZ,COMERCIO,2,164.8,0.17275
20,SUMAPAZ,HOTELES,0,0,0
20,SUMAPAZ,INDUSTRIA,0,0,0
20,SUMAPAZ,OFICINAS,18,6783.79,3.287038
20,SUMAPAZ,"UNIVERSIDADES Y COLEGIOS",25,14435.02,8.431655
20,SUMAPAZ,RESIDENCIAL,844,65065.5,40.47552
20,SUMAPAZ,OTROS,811,5667.79,37.494
